,indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
312,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-04-19,1274.7023,1273.0801,1268.9866,1300.5424,1299.0072,687466200,29702852520,24.3049,0.019067
313,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-04-20,1299.0072,1295.6107,1290.0194,1304.7648,1290.5026,699243300,32150302496,-8.5046,-0.006547
314,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-04-21,1290.5026,1285.3118,1275.6085,1291.5319,1286.855,519464100,26179862056,-3.6476,-0.002826
315,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-04-22,1286.855,1288.5833,1288.5833,1308.3421,1305.1805,498201000,27191379706,18.3255,0.014241
316,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-04-23,1305.1805,1303.2925,1300.102,1318.3006,1311.8272,476195500,26846069183,6.6467,0.005093
317,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-04-26,1311.8272,1315.5149,1313.0568,1335.4661,1314.9072,623116100,37525801738,3.08,0.002348
318,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-04-27,1314.9072,1310.6593,1297.266,1316.2025,1311.9129,505235400,28414528413,-2.9943,-0.002277
319,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-04-28,1311.9129,1318.5481,1304.3314,1326.0059,1324.2358,572829300,33119088968,12.3229,0.009393
320,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-04-29,1324.2358,1320.8884,1312.9405,1337.8502,1324.0547,551365800,31421906943,-0.1811,-0.000137
321,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-04-30,1324.0547,1319.008,1313.8254,1327.3675,1322.2396,606153300,34987167416,-1.8151,-0.001371
322,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-05-06,1322.2396,1321.2138,1298.9111,1322.6819,1310.125,473064000,29484876049,-12.1146,-0.009162
323,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-05-07,1310.125,1311.6565,1263.6868,1315.752,1263.8969,484793700,27879511741,-46.2281,-0.035285
324,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-05-10,1263.8969,1262.4841,1249.4867,1265.8015,1254.4859,437978500,24427798637,-9.411,-0.007446
325,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-05-11,1254.4859,1243.8093,1240.2006,1260.82,1258.1073,436733000,22551893756,3.6214,0.002887
326,000688.XSHG,000688,上海证券交易所,科创50,XSHG,2021-05-12,1258.1073,1254.7379,1251.8105,1273.6855,1270.9074,473930300,24180662677,12.8001,0.010174
